bias,gain,jointP
0,0,1.91159081137753e-42
0.15,0,2.60195852856931e-40
0.3,0,2.51248190400786e-39
0.45,0,7.75401268217548e-39
0.6,0,1.27690890619919e-38
0.75,0,1.42194801340345e-38
0.9,0,1.21466726377081e-38
1.05,0,8.57280362341072e-39
1.2,0,5.24025014197481e-39
1.35,0,2.86361397252386e-39
1.5,0,1.43053941490435e-39
1.65,0,6.64014565478918e-40
1.8,0,2.8990812313768e-40
1.95,0,1.20182073108662e-40
2.1,0,4.76576486076726e-41
2.25,0,1.818502248006e-41
2.4,0,6.70927702883769e-42
2.55,0,2.40293177444316e-42
2.7,0,8.38198547129197e-43
2.85,0,2.85562494234141e-43
0,2,1.31676363373607e-20
0.15,2,1.79231054392886e-18
0.3,2,1.73067624196909e-17
0.45,2,5.3412068391662e-17
0.6,2,8.79574855282521e-17
0.75,2,9.79482335847619e-17
0.9,2,8.36700862184262e-17
1.05,2,5.90521568909061e-17
1.2,2,3.60964845487005e-17
1.35,2,1.97254701039321e-17
1.5,2,9.85400362337323e-18
1.65,2,4.57394033749107e-18
1.8,2,1.99697796934525e-18
1.95,2,8.27851768038457e-19
2.1,2,3.28280812935766e-19
2.25,2,1.25264131517563e-19
2.4,2,4.62156019355832e-20
2.55,2,1.65521468093662e-20
2.7,2,5.77377416830529e-21
2.85,2,1.96704391613766e-21
0,4,2.40896880910046e-11
0.15,4,3.27896373041232e-09
0.3,4,3.16620612746235e-08
0.45,4,9.77153404669775e-08
0.6,4,1.60914862573532e-07
0.75,4,1.79192554811604e-07
0.9,4,1.53071229179568e-07
1.05,4,1.0803366710294e-07
1.2,4,6.60371407351803e-08
1.35,4,3.60869946646329e-08
1.5,4,1.80275235169709e-08
1.65,4,8.36784926725197e-09
1.8,4,3.65339497337435e-09
1.95,4,1.51452321181209e-09
2.1,4,6.00577217297994e-10
2.25,4,2.29165947474329e-10
2.4,4,8.45496797635117e-11
2.55,4,3.02815208180385e-11
2.7,4,1.05628994649356e-11
2.85,4,3.5986317655673e-12
0,6,3.65225636167625e-07
0.15,6,4.97126243347914e-05
0.3,6,0.000480030975399835
0.45,6,0.00148146988248945
0.6,6,0.00243964275627919
0.75,6,0.00271675227094404
0.9,6,0.00232072481988441
1.05,6,0.00163790683574381
