bias,gain,jointP
0,0,2.06658045227796e-127
0.15,0,3.68526131763437e-126
0.3,0,9.8854775167099e-126
0.45,0,1.19306946772611e-125
0.6,0,9.47232508552156e-126
0.75,0,5.83180436060338e-126
0.9,0,3.02892943875275e-126
1.05,0,1.39315865027835e-126
1.2,0,5.85000333141298e-127
1.35,0,2.28863005326329e-127
1.5,0,8.46119726038976e-128
1.65,0,2.98683539036154e-128
1.8,0,1.01455625679226e-128
1.95,0,3.33587927043797e-129
2.1,0,1.06670006091139e-129
2.25,0,3.3296109188705e-130
2.4,0,1.01760704770273e-130
2.55,0,3.05270848645889e-131
2.7,0,9.00764261251976e-132
2.85,0,2.61888597798926e-132
0,2,1.53760310818873e-75
0.15,2,2.74195434793562e-74
0.3,2,7.35511697058216e-74
0.45,2,8.87682509451131e-74
0.6,2,7.04771811676513e-74
0.75,2,4.33905222578109e-74
0.9,2,2.25362207136767e-74
1.05,2,1.03655537267217e-74
1.2,2,4.35259285230344e-75
1.35,2,1.70281523737091e-75
1.5,2,6.29540611024004e-76
1.65,2,2.22230272951905e-76
1.8,2,7.54862871250215e-77
1.95,2,2.4820027350563e-77
2.1,2,7.9365955840458e-78
2.25,2,2.47733887750228e-78
2.4,2,7.57132758967964e-79
2.55,2,2.27131445669069e-79
2.7,2,6.70197923492252e-80
2.85,2,1.9485363927204e-80
0,4,8.959340265628e-49
0.15,4,1.59768810723281e-47
0.3,4,4.2856960474388e-47
0.45,4,5.17236834893483e-47
0.6,4,4.10658019407303e-47
0.75,4,2.52828867957332e-47
0.9,4,1.31314556142494e-47
1.05,4,6.03982408625238e-48
1.2,4,2.53617856219501e-48
1.35,4,9.92200200419306e-49
1.5,4,3.66822134734076e-49
1.65,4,1.29489633709501e-49
1.8,4,4.39845190309636e-50
1.95,4,1.44621891859881e-50
2.1,4,4.62451330967386e-51
2.25,4,1.44350137162232e-51
2.4,4,4.41167813574364e-52
2.55,4,1.32345460017333e-52
2.7,4,3.90512428721455e-53
2.85,4,1.1353775541535e-53
0,6,2.78275672157945e-32
0.15,6,4.96239364459276e-31
0.3,6,1.33113032087981e-30
0.45,6,1.60652931608177e-30
0.6,6,1.27549722400913e-30
0.75,6,7.85282410153304e-31
0.9,6,4.07860905951577e-31
1.05,6,1.8759596772607e-31
1.2,6,7.87732995045386e-32
1.35,6,3.08175791409767e-32
1.5,6,1.1393436690551e-32
1.65,6,4.02192726134527e-33
1.8,6,1.36615210886037e-33
1.95,6,4.49193277327112e-34
2.1,6,1.43636641928863e-34
2.25,6,4.48349211593384e-35
