bias,gain,jointP
0,0,1.69475143929603e-19
0.15,0,2.30680799208472e-17
0.3,0,2.22748105801687e-16
0.45,0,6.87444408877797e-16
0.6,0,1.13206403470392e-15
0.75,0,1.26065077734028e-15
0.9,0,1.07688271009103e-15
1.05,0,7.60035630695871e-16
1.2,0,4.64582766224078e-16
1.35,0,2.53878281514953e-16
1.5,0,1.26826762189329e-16
1.65,0,5.88692744211289e-17
1.8,0,2.57022688133313e-17
1.95,0,1.06549341086083e-17
2.1,0,4.22516513945339e-18
2.25,0,1.61222228304726e-18
2.4,0,5.94821696860146e-19
2.55,0,2.13035763670211e-19
2.7,0,7.43118341910934e-20
2.85,0,2.53170001253315e-20
0,2,5.3357193035659e-14
0.15,2,7.26270510683223e-12
0.3,2,7.01295387866726e-11
0.45,2,2.16433532229443e-10
0.6,2,3.56416627405342e-10
0.75,2,3.96900603341807e-10
0.9,2,3.3904345679717e-10
1.05,2,2.39287997760094e-10
1.2,2,1.46268247742308e-10
1.35,2,7.99304969463935e-11
1.5,2,3.99298674443644e-11
1.65,2,1.85342768639991e-11
1.8,2,8.09204752230198e-12
1.95,2,3.35457674106706e-12
2.1,2,1.33024198549727e-12
2.25,2,5.07588626734998e-13
2.4,2,1.87272395026544e-13
2.55,2,6.70717256943126e-14
2.7,2,2.33961794622524e-14
2.85,2,7.97075034986979e-15
0,4,4.03201792690331e-11
0.15,4,5.48817423153979e-09
0.3,4,5.29944589484594e-08
0.45,4,1.63551310007802e-07
0.6,4,2.69331677583629e-07
0.75,4,2.99924013394672e-07
0.9,4,2.56203375408422e-07
1.05,4,1.80821636553615e-07
1.2,4,1.10529839273888e-07
1.35,4,6.04007029340479e-08
1.5,4,3.0173615251266e-08
1.65,4,1.40057098820567e-08
1.8,4,6.11487951651993e-09
1.95,4,2.53493723856799e-09
2.1,4,1.00521770870892e-09
2.25,4,3.83567111770663e-10
2.4,4,1.41515250522365e-10
2.55,4,5.0683775701446e-11
2.7,4,1.76796809663141e-11
2.85,4,6.02321945235531e-12
0,6,2.56686883663804e-09
0.15,6,3.4938890799523e-07
0.3,6,3.37374058487305e-06
0.45,6,1.04120261482265e-05
0.6,6,1.71462305585488e-05
0.75,6,1.9093804077738e-05
0.9,6,1.6310454767309e-05
1.05,6,1.15114920685841e-05
1.2,6,7.03656593532697e-06
1.35,6,3.8452379151874e-06
1.5,6,1.92091687292337e-06
1.65,6,8.91633442186997e-07
1.8,6,3.89286306641158e-07
1.95,6,1.61379525549651e-07
2.1,6,6.39943089862034e-08
2.25,6,2.44187025904308e-08
2.4,6,9.00916347745179e-09
2.55,6,3.22663754799108e-09
2.7,6,1.12552629816774e-09
2.85,6,3.83451030942145e-10
0,8,4.14607886746272e-08
0.15,8,5.6434280836188e-06
0.3,8,5.44936084913635e-05
0.45,8,0.000168177979974902
0.6,8,0.000276950746998638
0.75,8,0.000308408503216974
0.9,8,0.000263451060935462
1.05,8,0.000185936863299305
1.2,8,0.000113656595567143
1.35,8,6.21093662168023e-05
1.5,8,3.1027190557237e-05
1.65,8,1.44019145793847e-05
1.8,8,6.28786210779463e-06
1.95,8,2.60664756598516e-06
2.1,8,1.0336541093899e-06
2.25,8,3.94417764304795e-07
2.4,8,1.45518546854551e-07
2.55,8,5.21175587927948e-08
2.7,8,1.81798178894049e-08
2.85,8,6.19360909059262e-09
0,10,2.77723886325149e-07
0.15,10,3.78023387803583e-05
0.3,10,0.000365023850580158
0.45,10,0.00112653530446531
0.6,10,0.00185514651881634
0.75,10,0.00206586538334609
0.9,10,0.00176471926459652
1.05,10,0.00124549266758624
1.2,10,0.000761325397717521
1.35,10,0.00041603778206656
1.5,10,0.000207834732979409
1.65,10,9.64708056785536e-05
1.8,10,4.21190613366707e-05
1.95,10,1.74605528608387e-05
2.1,10,6.9239019698485e-06
2.25,10,2.64199591565992e-06
2.4,10,9.7475175115437e-07
2.55,10,3.49107950823238e-07
2.7,10,1.21776981054362e-07
2.85,10,4.14877102439398e-08
0,12,1.00747935684299e-06
0.15,12,0.00013713287850584
0.3,12,0.00132417128062329
0.45,12,0.00408665267875037
0.6,12,0.00672978419810252
0.75,12,0.00749419416269078
0.9,12,0.0064017476250589
1.05,12,0.00451818591586093
1.2,12,0.00276180645528879
1.35,12,0.00150923092228401
1.5,12,0.000753947403957126
1.65,12,0.000349960338468566
1.8,12,0.000152792348500479
1.95,12,6.33404162642524e-05
2.1,12,2.51173508902293e-05
2.25,12,9.58418226502344e-06
2.4,12,3.53603818644842e-06
2.55,12,1.26643429349246e-06
2.7,12,4.41761766243224e-07
2.85,12,1.50502040665373e-07
0,14,2.32855095702783e-06
0.15,14,0.000316950311007234
0.3,14,0.00306050965890376
0.45,14,0.009445333982786
0.6,14,0.0155543092060838
0.75,14,0.0173210625817373
0.9,14,0.0147961300226468
1.05,14,0.0104427212993975
1.2,14,0.00638326435267154
1.35,14,0.00348823138120943
1.5,14,0.00174257163395816
1.65,14,0.000808850797316889
1.8,14,0.000353143483199692
1.95,14,0.000146396435727319
