bias,gain,jointP
0,0,4.01096558487684e-16
0.15,0,1.75443032869859e-15
0.3,0,1.86325685751145e-15
0.45,0,1.16763417187186e-15
0.6,0,5.62506642572304e-16
0.75,0,2.31697152828755e-16
0.9,0,8.60275751414991e-17
1.05,0,2.9669516178086e-17
1.2,0,9.68366790493836e-18
1.35,0,3.02832441527307e-18
1.5,0,9.15266601755543e-19
1.65,0,2.69025920619498e-19
1.8,0,7.72637106356018e-20
1.95,0,2.1759693401336e-20
2.1,0,6.02628663325345e-21
2.25,0,1.64491773744813e-21
2.4,0,4.43332009473857e-22
2.55,0,1.18156279506967e-22
2.7,0,3.11795825572419e-23
2.85,0,8.15504443514442e-24
0,2,1.26280385435493e-10
0.15,2,5.52361104675444e-10
0.3,2,5.86623817015611e-10
0.45,2,3.67615453564552e-10
0.6,2,1.77098392222272e-10
0.75,2,7.29470376755174e-11
0.9,2,2.70847383680129e-11
1.05,2,9.3410872254301e-12
1.2,2,3.04878536000322e-12
1.35,2,9.53431203265081e-13
1.5,2,2.88160585774442e-13
1.65,2,8.4699547351044e-14
1.8,2,2.43255419493702e-14
1.95,2,6.85077548418613e-15
2.1,2,1.89730323705924e-15
2.25,2,5.17882393899939e-16
2.4,2,1.39577704788432e-16
2.55,2,3.72000711599766e-17
2.7,2,9.81651330515511e-18
2.85,2,2.56751680542088e-18
0,4,9.54257053124753e-08
0.15,4,4.17400119734016e-07
0.3,4,4.43291262524747e-07
0.45,4,2.77794241910061e-07
0.6,4,1.33827109643632e-07
0.75,4,5.51235450908395e-08
0.9,4,2.04669969374759e-08
1.05,4,7.0587354781821e-09
1.2,4,2.30386130293586e-09
1.35,4,7.2047487600494e-10
1.5,4,2.17752955424964e-10
1.65,4,6.40045088375942e-11
1.8,4,1.8381967948717e-11
1.95,4,5.17689330976761e-12
2.1,4,1.43372621934629e-12
2.25,4,3.913457544209e-13
2.4,4,1.05474028127167e-13
2.55,4,2.81108029237715e-14
2.7,4,7.41799846922578e-15
2.85,4,1.94018335637784e-15
0,6,6.0750044672773e-06
0.15,6,2.65725842289868e-05
0.3,6,2.82208697470404e-05
0.45,6,1.76849755006936e-05
0.6,6,8.5197199880857e-06
0.75,6,3.50928276173015e-06
0.9,6,1.30297279354415e-06
1.05,6,4.49374195588774e-07
1.2,6,1.46668737333324e-07
1.35,6,4.58669713360647e-08
1.5,6,1.38626188052555e-08
1.65,6,4.07466390571641e-09
1.8,6,1.17023538930243e-09
1.95,6,3.29572098843525e-10
2.1,6,9.12740771352999e-11
2.25,6,2.49139076161081e-11
2.4,6,6.71470218591617e-12
2.55,6,1.7895938288479e-12
2.7,6,4.72245645879563e-13
2.85,6,1.23516221533146e-13
0,8,9.8125183811532e-05
0.15,8,0.000429207867395257
0.3,8,0.000455831439493696
0.45,8,0.000285652707097636
0.6,8,0.000137612917711708
0.75,8,5.66829239214934e-05
0.9,8,2.10459836789629e-05
1.05,8,7.25841862007227e-06
1.2,8,2.36903476989341e-06
1.35,8,7.40856244217175e-07
1.5,8,2.23912924789098e-07
1.65,8,6.58151194574894e-08
1.8,8,1.89019717263723e-08
1.95,8,5.32334139873762e-09
2.1,8,1.47428461071458e-09
2.25,8,4.02416455405472e-10
2.4,8,1.084577616003e-10
2.55,8,2.8906023748553e-11
