bias,gain,jointP
0,0,1.59396662776602e-39
0.15,0,6.71627137618337e-39
0.3,0,1.02653905511188e-38
0.45,0,1.10960720695289e-38
0.6,0,1.01035239405182e-38
0.75,0,8.3054341106849e-39
0.9,0,6.37915623258677e-39
1.05,0,4.66832073653449e-39
1.2,0,3.29487044596499e-39
1.35,0,2.26104359796043e-39
1.5,0,1.51714161446499e-39
1.65,0,9.99473602654294e-40
1.8,0,6.48453403495923e-40
1.95,0,4.15311149820242e-40
2.1,0,2.63063414705183e-40
2.25,0,1.65037472318491e-40
2.4,0,1.02674393305943e-40
2.55,0,6.34058010752841e-41
2.7,0,3.88992360410293e-41
2.85,0,2.37246423291712e-41
0,2,1.09797414610856e-17
0.15,2,4.62637811911629e-17
0.3,2,7.07112258719762e-17
0.45,2,7.64332203916658e-17
0.6,2,6.95962379515154e-17
0.75,2,5.72104319305659e-17
0.9,2,4.39416264767351e-17
1.05,2,3.21568556403286e-17
1.2,2,2.26960997892221e-17
1.35,2,1.55747766015917e-17
1.5,2,1.04505467031175e-17
1.65,2,6.88468727209438e-18
1.8,2,4.46675017903284e-18
1.95,2,2.86079330112663e-18
2.1,2,1.81206320823753e-18
2.25,2,1.13682980928387e-18
2.4,2,7.07253385068079e-19
2.55,2,4.36759020429024e-19
2.7,2,2.67950123499661e-19
2.85,2,1.63422768390146e-19
0,4,2.00870179234034e-08
0.15,4,8.46378218726676e-08
0.3,4,1.2936348879528e-07
0.45,4,1.39831659369422e-07
0.6,4,1.27323660952152e-07
0.75,4,1.04664301583774e-07
0.9,4,8.03895284556552e-08
1.05,4,5.88297400168213e-08
1.2,4,4.15216482895565e-08
1.35,4,2.84934593276156e-08
1.5,4,1.91188763122416e-08
1.65,4,1.25952725864926e-08
1.8,4,8.17174896363427e-09
1.95,4,5.23371215238082e-09
2.1,4,3.31510047583656e-09
2.25,4,2.07978674505936e-09
2.4,4,1.29389307322047e-09
2.55,4,7.99033957462467e-10
2.7,4,4.90204523703212e-10
2.85,4,2.98975717176905e-10
0,6,0.000304540842208953
0.15,6,0.00128320060519298
0.3,6,0.00196128992262719
0.45,6,0.00211999867149139
0.6,6,0.0019303639339276
0.75,6,0.00158682362285331
0.9,6,0.00121879189803191
1.05,6,0.000891922267405478
1.2,6,0.000629512941553793
1.35,6,0.000431991554653243
1.5,6,0.000289862771886865
1.65,6,0.00019095790803635
1.8,6,0.000123892522085411
1.95,6,7.93487173080208e-05
2.1,6,5.02604963448705e-05
2.25,6,3.15318087219627e-05
2.4,6,1.9616813593211e-05
2.55,6,1.21142160218644e-05
2.7,6,7.4320289389138e-06
2.85,6,4.532794118882e-06
0,8,0.0106448084810434
0.15,8,0.044852521540169
0.3,8,0.0685542059013626
0.45,8,0.0741016530801101
0.6,8,0.0674732302778429
0.75,8,0.0554652487198394
0.9,8,0.0426012033022993
1.05,8,0.0311759225713148
