bias,gain,jointP
0,0,1.03388332974674e-127
0.15,0,1.08427109169814e-126
0.3,0,2.93273781005183e-126
0.45,0,4.70150536893835e-126
0.6,0,5.7704772968725e-126
0.75,0,6.02890775336334e-126
0.9,0,5.65679119327644e-126
1.05,0,4.91520073590838e-126
1.2,0,4.03178556915989e-126
1.35,0,3.16231034662454e-126
1.5,0,2.39308680848044e-126
1.65,0,1.75870164648133e-126
1.8,0,1.26133266644585e-126
1.95,0,8.86143743072274e-127
2.1,0,6.11643885624399e-127
2.25,0,4.15756443798937e-127
2.4,0,2.78842231305061e-127
2.55,0,1.84817621660613e-127
2.7,0,1.21217416748012e-127
2.85,0,7.87598117887593e-128
0,2,7.69242842479615e-76
0.15,2,8.06732977115191e-75
0.3,2,2.18205236929813e-74
0.45,2,3.49807299322761e-74
0.6,2,4.29342289462935e-74
0.75,2,4.48570356423161e-74
0.9,2,4.20883673392388e-74
1.05,2,3.65706930043475e-74
1.2,2,2.99977966783599e-74
1.35,2,2.35286180737245e-74
1.5,2,1.78053446253641e-74
1.65,2,1.30853125753007e-74
1.8,2,9.38472550753742e-75
1.95,2,6.59319782178344e-75
2.1,2,4.55082955325572e-75
2.25,2,3.09336323940394e-75
2.4,2,2.07467694314218e-75
2.55,2,1.3751032494291e-75
2.7,2,9.01897027782796e-76
2.85,2,5.85998630119954e-76
0,4,4.48224144187136e-49
0.15,4,4.70068979893796e-48
0.3,4,1.27144316695554e-47
0.45,4,2.03826501477669e-47
0.6,4,2.50170127859161e-47
0.75,4,2.61373981027088e-47
0.9,4,2.45241442481982e-47
1.05,4,2.1309093395482e-47
1.2,4,1.74791834270644e-47
1.35,4,1.37097079330713e-47
1.5,4,1.0374858127942e-47
1.65,4,7.62457927015516e-48
1.8,4,5.46831290036815e-48
1.95,4,3.84173928950621e-48
2.1,4,2.65168756757542e-48
2.25,4,1.8024478280128e-48
2.4,4,1.20887741289492e-48
2.55,4,8.01248244517323e-49
2.7,4,5.25519382305566e-49
2.85,4,3.41450995674764e-49
0,6,1.39217700526024e-32
0.15,6,1.46002671471678e-31
0.3,6,3.94908209092759e-31
0.45,6,6.33081845545076e-31
0.6,6,7.77024406037194e-31
0.75,6,8.11823394340215e-31
0.9,6,7.61715988279569e-31
1.05,6,6.61857024278174e-31
1.2,6,5.42900634726302e-31
1.35,6,4.25821330260317e-31
1.5,6,3.22241430004893e-31
1.65,6,2.36818209646962e-31
1.8,6,1.69844921925537e-31
1.95,6,1.19323806368235e-31
2.1,6,8.2360990691561e-32
2.25,6,5.59837405432813e-32
2.4,6,3.75475386196096e-32
2.55,6,2.48866420068713e-32
2.7,6,1.63225477554579e-32
2.85,6,1.06054131792409e-32
0,8,1.03129998398509e-21
0.15,8,1.08156184293804e-20
0.3,8,2.92540983060422e-20
0.45,8,4.68975780166577e-20
0.6,8,5.75605870858633e-20
0.75,8,6.01384342952341e-20
0.9,8,5.64265667042148e-20
1.05,8,4.90291921184913e-20
1.2,8,4.02171141875793e-20
1.35,8,3.15440873839089e-20
1.5,8,2.38710724532659e-20
1.65,8,1.75430721017143e-20
1.8,8,1.25818099709967e-20
1.95,8,8.83929551570188e-21
2.1,8,6.10115582000478e-21
2.25,8,4.14717600618026e-21
2.4,8,2.781454932151e-21
2.55,8,1.84355821179014e-21
2.7,8,1.20914532959499e-21
2.85,8,7.85630160574437e-22
0,10,2.16449210570264e-14
0.15,10,2.26998168061875e-13
0.3,10,6.1398492995412e-13
0.45,10,9.84286230679283e-13
0.6,10,1.20808143393476e-12
0.75,10,1.26218528364908e-12
0.9,10,1.18428061747106e-12
1.05,10,1.02902454123364e-12
1.2,10,8.4407667531211e-13
1.35,10,6.62047214043707e-13
1.5,10,5.01005999050773e-13
1.65,10,3.68193946122292e-13
1.8,10,2.6406699098782e-13
1.95,10,1.85519108511748e-13
2.1,10,1.28051040561763e-13
2.25,10,8.70409179262271e-14
2.4,10,5.837716800639e-14
2.55,10,3.86925943739829e-14
2.7,10,2.5377538652162e-14
2.85,10,1.64888035195572e-14
0,12,1.665770352528e-09
0.15,12,1.7469540195569e-08
0.3,12,4.72516342527636e-08
0.45,12,7.57496327728503e-08
0.6,12,9.29726761666691e-08
0.75,12,9.71364515195242e-08
0.9,12,9.11409903718016e-08
1.05,12,7.9192646085179e-08
1.2,12,6.49592529023748e-08
1.35,12,5.0950457071303e-08
1.5,12,3.85568945924398e-08
1.65,12,2.8335818726939e-08
1.8,12,2.03223178088699e-08
1.95,12,1.42773554115586e-08
2.1,12,9.85467336268718e-09
2.25,12,6.69857747026826e-09
2.4,12,4.49264543277341e-09
2.55,12,2.97774135561698e-09
2.7,12,1.95302867566625e-09
2.85,12,1.26896097145254e-09
0,14,2.21484249689971e-06
0.15,14,2.32278596912977e-05
0.3,14,6.28267440539788e-05
