bias,gain,jointP
0,0,5.47630368785221e-16
0.15,0,1.16773063070751e-15
0.3,0,1.19886157876994e-15
0.45,0,9.91304912475295e-16
0.6,0,7.38120473291041e-16
0.75,0,5.1655484900374e-16
0.9,0,3.46968667472122e-16
1.05,0,2.26360482307953e-16
1.2,0,1.44492369675489e-16
1.35,0,9.0686879142141e-17
1.5,0,5.61537663191369e-17
1.65,0,3.43891490156563e-17
1.8,0,2.08677335344198e-17
1.95,0,1.25648484202204e-17
2.1,0,7.51538608869687e-18
2.25,0,4.4693474868033e-18
2.4,0,2.64453683979645e-18
2.55,0,1.55785156296737e-18
2.7,0,9.14089152511732e-19
2.85,0,5.34463513479457e-19
0,2,1.72414777895687e-10
0.15,2,3.6764582245874e-10
0.3,2,3.77447023783227e-10
0.45,2,3.12100325426555e-10
0.6,2,2.32388276320458e-10
0.75,2,1.62631027493017e-10
0.9,2,1.09238875615444e-10
1.05,2,7.12668517052111e-11
1.2,2,4.54916696465965e-11
1.35,2,2.855166370709e-11
1.5,2,1.76793320819603e-11
1.65,2,1.08270063669195e-11
1.8,2,6.56995274112432e-12
1.95,2,3.95589009146955e-12
2.1,2,2.36612813521889e-12
2.25,2,1.40711983520048e-12
2.4,2,8.32600341142319e-13
2.55,2,4.9047066512999e-13
2.7,2,2.87789880164551e-13
2.85,2,1.68269353239703e-13
0,4,1.30287864819626e-07
0.15,4,2.7781719062959e-07
0.3,4,2.85223618366355e-07
0.45,4,2.35843385965082e-07
0.6,4,1.75607756483751e-07
0.75,4,1.22894624138927e-07
0.9,4,8.25480276861404e-08
1.05,4,5.38538868559547e-08
1.2,4,3.43764761795579e-08
1.35,4,2.15755015135383e-08
1.5,4,1.33596577770689e-08
1.65,4,8.18159301163784e-09
1.8,4,4.9646853074556e-09
1.95,4,2.9893288717427e-09
2.1,4,1.78800092654369e-09
2.25,4,1.06331163204892e-09
2.4,4,6.29167186360065e-10
2.55,4,3.7063166218333e-10
2.7,4,2.17472826059148e-10
2.85,4,1.27155311254377e-10
0,6,8.2944040939436e-06
0.15,6,1.76864364652545e-05
0.3,6,1.81579454935616e-05
0.45,6,1.50142942996761e-05
0.6,6,1.11795653134969e-05
0.75,6,7.82373458182596e-06
0.9,6,5.25518397077724e-06
1.05,6,3.42845360334371e-06
1.2,6,2.18847998740192e-06
1.35,6,1.37354256538419e-06
1.5,6,8.50504383606365e-07
1.65,6,5.20857707390157e-07
1.8,6,3.16062483611276e-07
1.95,6,1.9030706863032e-07
2.1,6,1.13827962609031e-07
2.25,6,6.76926923794045e-08
2.4,6,4.00541285525295e-08
2.55,6,2.35952042073488e-08
2.7,6,1.38447851707733e-08
2.85,6,8.09497903503981e-09
0,8,0.000133973551905898
0.15,8,0.000285676305008857
0.3,8,0.000293292251683571
0.45,8,0.000242515111864017
0.6,8,0.000180575488829487
0.75,8,0.000126371165333214
0.9,8,8.48832121644586e-05
1.05,8,5.53773485813067e-05
1.2,8,3.53489453692398e-05
1.35,8,2.21858465170302e-05
1.5,8,1.37375864369186e-05
1.65,8,8.41304044344488e-06
1.8,8,5.10513028711986e-06
1.95,8,3.07389339227157e-06
2.1,8,1.83858132353099e-06
2.25,8,1.09339143999075e-06
2.4,8,6.46965569786516e-07
2.55,8,3.81116386397391e-07
2.7,8,2.23624870900246e-07
2.85,8,1.307523821657e-07
0,10,0.000897417938478824
0.15,10,0.0019135944152124
0.3,10,0.00196460961237003
0.45,10,0.00162448041902953
0.6,10,0.00120957965672947
0.75,10,0.000846493573270012
0.9,10,0.000568587726371502
1.05,10,0.000370943557853612
1.2,10,0.000236783881813819
1.35,10,0.000148611247231136
1.5,10,9.20208229498419e-05
1.65,10,5.63545065700605e-05
1.8,10,3.41965666563119e-05
1.95,10,2.05903854302051e-05
2.1,10,1.23156834883931e-05
2.25,10,7.32405074037371e-06
2.4,10,4.33368004091136e-06
2.55,10,2.55289702285028e-06
2.7,10,1.4979446896866e-06
2.85,10,8.75841026718143e-07
0,12,0.00325549976792234
0.15,12,0.00694181151000968
0.3,12,0.00712687574305663
0.45,12,0.00589301305488646
0.6,12,0.00438790681902475
0.75,12,0.00307076503953046
0.9,12,0.00206262559714767
1.05,12,0.001345645785231
1.2,12,0.000858964189638635
1.35,12,0.000539106541252883
1.5,12,0.000333817449944256
1.65,12,0.000204433269264919
1.8,12,0.000124052473256853
1.95,12,7.46942891548249e-05
2.1,12,4.46767364671024e-05
2.25,12,2.65689423658659e-05
2.4,12,1.57209854656471e-05
2.55,12,9.26096449498912e-06
2.7,12,5.43398831307213e-06
2.85,12,3.17722672677002e-06
0,14,0.00752432002572614
0.15,14,0.016044360338848
0.3,14,0.0164720926730603
0.45,14,0.013620310029709
0.6,14,0.0101416118885117
0.75,14,0.00709734926382277
0.9,14,0.00476727267472617
1.05,14,0.00311014291234596
1.2,14,0.00198529316978093
1.35,14,0.0012460176419972
1.5,14,0.000771540317189272
1.65,14,0.000472499293967508
1.8,14,0.000286718038798416
1.95,14,0.000172638235527724
2.1,14,0.000103259741006846
2.25,14,6.14078449876324e-05
2.4,14,3.63353506975707e-05
2.55,14,2.140453557816e-05
2.7,14,1.25593825828176e-05
2.85,14,7.34341034887099e-06
0,16,0.0123231410933386
0.15,16,0.026277047697597
0.3,16,0.0269775768997918
0.45,16,0.022306999390941
0.6,16,0.0166096755306402
0.75,16,0.0116238591750157
0.9,16,0.00780771865101509
1.05,16,0.00509371342503305
1.2,16,0.00325146295734421
1.35,16,0.00204069618977148
1.5,16,0.00126360922387868
1.65,16,0.000773847396994861
1.8,16,0.000469579554569416
1.95,16,0.000282742537164726
2.1,16,0.000169116193003256
2.25,16,0.000100572215885705
2.4,16,5.95091186700145e-05
2.55,16,3.50558071779512e-05
2.7,16,2.05694392428961e-05
2.85,16,1.20268517987028e-05
0,18,0.0153875840140142
0.15,18,0.0328114622744685
0.3,18,0.0336861947693249
0.45,18,0.0278541667768631
0.6,18,0.020740067466354
0.75,18,0.0145144089699102
0.9,18,0.00974929409557959
1.05,18,0.00636038674533859
1.2,18,0.00406001676404034
1.35,18,0.00254816396479966
1.5,18,0.00157783579251779
1.65,18,0.000966283007318761
1.8,18,0.000586351709557734
1.95,18,0.000353053212002059
2.1,18,0.000211170967552626
2.25,18,0.00012558189585717
2.4,18,7.4307480227568e-05
2.55,18,4.37732696594212e-05
2.7,18,2.56845208598901e-05
2.85,18,1.50176153202267e-05
0,20,0.0154374572889141
0.15,20,0.0329178087338212
0.3,20,0.0337953763569304
0.45,20,0.0279444459600998
0.6,20,0.0208072888758521
0.75,20,0.0145614521644694
0.9,20,0.00978089289783901
1.05,20,0.00638100163305138
1.2,20,0.00407317583644487
1.35,20,0.00255642291446913
1.5,20,0.0015829497752038
1.65,20,0.000969414863366548
1.8,20,0.000588252156045771
1.95,20,0.00035419750599132
2.1,20,0.000211855401685109
2.25,20,0.000125988924043585
2.4,20,7.45483209849691e-05
2.55,20,4.3915144843271e-05
2.7,20,2.57677679224798e-05
2.85,20,1.50662894757358e-05
0,22,0.0129347959725247
0.15,22,0.0275812999424674
0.3,22,0.0283165996712097
0.45,22,0.0234141996505279
0.6,22,0.0174340910755946
0.75,22,0.0122008054361612
0.9,22,0.00819525208685209
1.05,22,0.0053465381428545
1.2,22,0.00341284820541441
1.35,22,0.00214198544483689
1.5,22,0.00132632803406805
1.65,22,0.000812257046980386
1.8,22,0.00049288697461297
1.95,22,0.000296776365967007
2.1,22,0.00017751021720669
2.25,22,0.000105564083307421
2.4,22,6.24628333532177e-05
2.55,22,3.67957901369868e-05
2.7,22,2.15903963008203e-05
2.85,22,1.26238004604285e-05
0,24,0.00932151010942123
0.15,24,0.0198765691233788
0.3,24,0.0204064656806562
0.45,24,0.0168735323858226
0.6,24,0.0125639443061122
0.75,24,0.00879255702663081
0.9,24,0.00590593971015195
1.05,24,0.00385300312852919
1.2,24,0.00245948209127268
1.35,24,0.00154362999004328
1.5,24,0.000955823362365797
1.65,24,0.000585356142528969
1.8,24,0.000355200880355291
1.95,24,0.000213873021381626
2.1,24,0.000127923415856922
2.25,24,7.60751597344169e-05
2.4,24,4.50140793717881e-05
2.55,24,2.65170266678058e-05
2.7,24,1.555920153762e-05
2.85,24,9.09739000608542e-06
0,26,0.00591097559123287
0.15,26,0.0126041718076343
0.3,26,0.012940190926766
0.45,26,0.0106998798370308
0.6,26,0.00796707478201188
0.75,26,0.00557555475012672
0.9,26,0.00374508690761573
1.05,26,0.00244327444569966
1.2,26,0.00155961195535193
1.35,26,0.000978849895127927
1.5,26,0.000606108720384702
1.65,26,0.000371187267948133
1.8,26,0.000225240729143501
1.95,26,0.000135621610036371
2.1,26,8.11190654519764e-05
2.25,26,4.82409402565354e-05
2.4,26,2.85444226638273e-05
2.55,26,1.68150327088154e-05
2.7,26,9.86643359588171e-06
2.85,26,5.76885608004084e-06
0,28,0.00335822281915573
0.15,28,0.00716085132270498
0.3,28,0.0073517550163718
0.45,28,0.00607895939956782
0.6,28,0.00452636149852414
0.75,28,0.00316765902723384
0.9,28,0.00212770905898012
1.05,28,0.00138810588376957
1.2,28,0.000886067684877467
1.35,28,0.000556117345370593
1.5,28,0.000344350624405242
1.65,28,0.000210883894572723
1.8,28,0.000127966787332853
1.95,28,7.70511700759346e-05
2.1,28,4.6086452644714e-05
2.25,28,2.74072907063444e-05
2.4,28,1.62170406677821e-05
2.55,28,9.55318215682497e-06
2.7,28,5.60545073042061e-06
2.85,28,3.27747997422837e-06
0,30,0.00173433452578421
0.15,30,0.0036981797670284
0.3,30,0.00379677086263335
0.45,30,0.00313944301354056
0.6,30,0.0023376129118926
0.75,30,0.00163591897044665
0.9,30,0.00109884289415339
1.05,30,0.000716879161779687
1.2,30,0.000457604471418314
1.35,30,0.000287203549139768
1.5,30,0.000177837865157353
1.65,30,0.000108909753457414
1.8,30,6.60876985764893e-05
1.95,30,3.97926259545698e-05
2.1,30,2.38010788136867e-05
2.25,30,1.41543349235439e-05
2.4,30,8.37519576597127e-06
2.55,30,4.93368502863446e-06
2.7,30,2.8949022318879e-06
2.85,30,1.69263535595284e-06
0,32,0.000823879243531548
0.15,32,0.00175678538575212
0.3,32,0.00180362015497244
0.45,32,0.00149136276574824
0.6,32,0.00111046094561764
0.75,32,0.000777127863058056
0.9,32,0.000521994943268375
1.05,32,0.000340546678123424
1.2,32,0.000217380684143563
1.35,32,0.000136433334680837
1.5,32,8.44801989690283e-05
1.65,32,5.17365502201076e-05
1.8,32,3.13943373094756e-05
1.95,32,1.89031112984162e-05
2.1,32,1.13064777969454e-05
2.25,32,6.72388318178036e-06
2.4,32,3.97855768279594e-06
2.55,32,2.34370049652118e-06
2.7,32,1.37519597600535e-06
2.85,32,8.04070446563137e-07
0,34,0.000363531573997273
0.15,34,0.000775170586553827
0.3,34,0.000795836136154863
0.45,34,0.000658054512102322
0.6,34,0.000489983961353945
0.75,34,0.000342902819160312
0.9,34,0.000230327010705548
1.05,34,0.000150264096212797
1.2,34,9.59178701050593e-05
1.35,34,6.02003573844401e-05
1.5,34,3.72763605151289e-05
1.65,34,2.28284298729083e-05
1.8,34,1.38525553912416e-05
1.95,34,8.34087987737456e-06
2.1,34,4.98891275895019e-06
2.25,34,2.96687148709896e-06
2.4,34,1.75551374551697e-06
2.55,34,1.03414321597229e-06
2.7,34,6.0679664117888e-07
2.85,34,3.54791065970816e-07
0,36,0.000150214011170569
0.15,36,0.00032030638182907
0.3,36,0.000328845544093526
0.45,36,0.000271913129153737
0.6,36,0.000202465099344503
0.75,36,0.000141690052782466
0.9,36,9.51728725474244e-05
1.05,36,6.20902673703219e-05
1.2,36,3.96339934190329e-05
1.35,36,2.48752455177013e-05
1.5,36,1.54028756656492e-05
1.65,36,9.4328808423153e-06
1.8,36,5.72398124157574e-06
1.95,36,3.4465150008723e-06
