bias,gain,jointP
0,0,1.07259353766069e-126
0.15,0,4.51943544474708e-126
0.3,0,6.9076675602203e-126
0.45,0,7.46664013403737e-126
0.6,0,6.79874615780891e-126
0.75,0,5.58879640226377e-126
0.9,0,4.29258783189834e-126
1.05,0,3.14135225073814e-126
1.2,0,2.21714600933916e-126
1.35,0,1.52147523624153e-126
1.5,0,1.02089734066259e-126
1.65,0,6.72554185636817e-127
1.8,0,4.36349744058695e-127
1.95,0,2.7946636250468e-127
2.1,0,1.77017582233316e-127
2.25,0,1.11055101905592e-127
2.4,0,6.90904620114491e-128
2.55,0,4.2666296331978e-128
2.7,0,2.61756227958307e-128
2.85,0,1.59645111775299e-128
0,2,7.98044496894523e-75
0.15,2,3.36260704461883e-74
0.3,2,5.13952945757402e-74
0.45,2,5.55542324285878e-74
0.6,2,5.05848838960523e-74
0.75,2,4.15824639668999e-74
0.9,2,3.19382503847098e-74
1.05,2,2.33726830200413e-74
1.2,2,1.64962878242188e-74
1.35,2,1.13202708837125e-74
1.5,2,7.59580844004458e-75
1.65,2,5.00402200708236e-75
1.8,2,3.24658409491123e-75
1.95,2,2.07932068237524e-75
2.1,2,1.31706841776219e-75
2.25,2,8.26286098283905e-76
2.4,2,5.14055521128636e-76
2.55,2,3.1745112938931e-76
2.7,2,1.94755151802974e-76
2.85,2,1.18781158411839e-76
0,4,4.65006356758243e-48
0.15,4,1.95933141211106e-47
0.3,4,2.99471254775665e-47
0.45,4,3.23704647104817e-47
0.6,4,2.94749135656918e-47
0.75,4,2.42293633369101e-47
0.9,4,1.86098513434012e-47
1.05,4,1.36188473463669e-47
1.2,4,9.61209397599441e-48
1.35,4,6.59612081987368e-48
1.5,4,4.42594269252317e-48
1.65,4,2.91575476268084e-48
1.8,4,1.89172689963861e-48
1.95,4,1.21158323728303e-48
2.1,4,7.6743237868087e-49
2.25,4,4.81462236376734e-49
2.4,4,2.9953102362296e-49
2.55,4,1.84973135834584e-49
2.7,4,1.13480368516054e-49
2.85,4,6.92116717044577e-50
0,6,1.44430228842913e-31
0.15,6,6.08565195115026e-31
0.3,6,9.30152915772084e-31
0.45,6,1.00542144380125e-30
0.6,6,9.15486089501176e-31
0.75,6,7.52560140438547e-31
0.9,6,5.78018998922507e-31
1.05,6,4.22999215005375e-31
1.2,6,2.98550097742904e-31
1.35,6,2.04874455078719e-31
1.5,6,1.37469070397908e-31
1.65,6,9.05628754324208e-32
1.8,6,5.87567341934524e-32
1.95,6,3.76315810912672e-32
2.1,6,2.38363266358453e-32
2.25,6,1.49541398667943e-32
2.4,6,9.30338556853484e-33
2.55,6,5.74523594142383e-33
2.7,6,3.52468205127632e-33
2.85,6,2.14970342611304e-33
0,8,1.06991346739573e-20
0.15,8,4.50814281233364e-20
0.3,8,6.89040749498749e-20
0.45,8,7.44798337404422e-20
0.6,8,6.78175825253378e-20
0.75,8,5.57483177677549e-20
0.9,8,4.28186201955282e-20
1.05,8,3.13350301012337e-20
