bias,gain,jointP
0,0,4.15654415407673e-126
0.15,0,8.863138721416e-126
0.3,0,9.0994243029969e-126
0.45,0,7.52405796631914e-126
0.6,0,5.60237436259766e-126
0.75,0,3.92067927614978e-126
0.9,0,2.63351097498149e-126
1.05,0,1.71808831847329e-126
1.2,0,1.09670491031314e-126
1.35,0,6.88318323517893e-127
1.5,0,4.26210127172001e-127
1.65,0,2.61015503252268e-127
1.8,0,1.58387227544976e-127
1.95,0,9.53678799146549e-128
2.1,0,5.70421873825153e-128
2.25,0,3.39225894466339e-128
2.4,0,2.00721778196482e-128
2.55,0,1.18241777228956e-128
2.7,0,6.93798616684774e-129
2.85,0,4.05660700930123e-129
0,2,3.09260411497034e-74
0.15,2,6.59446363742347e-74
0.3,2,6.77026779944315e-74
0.45,2,5.59814397859622e-74
0.6,2,4.16834884103917e-74
0.75,2,2.91711297015996e-74
0.9,2,1.95941786641657e-74
1.05,2,1.27831361983287e-74
1.2,2,8.1598414279229e-75
1.35,2,5.1213123229621e-75
1.5,2,3.17114204558942e-75
1.65,2,1.94204028516647e-75
1.8,2,1.17845251609781e-75
1.95,2,7.09568061657152e-76
2.1,2,4.24412437079622e-76
2.25,2,2.52395104741555e-76
2.4,2,1.49343534966607e-76
2.55,2,8.79757301413539e-77
2.7,2,5.16208748754809e-77
2.85,2,3.01824762705286e-77
0,4,1.80200549968579e-47
0.15,4,3.84247685780145e-47
0.3,4,3.94491482110027e-47
0.45,4,3.26193908513247e-47
0.6,4,2.42882284861524e-47
0.75,4,1.6997499259563e-47
0.9,4,1.1417179956443e-47
1.05,4,7.44850646130689e-48
1.2,4,4.75459469852708e-48
1.35,4,2.98409774691606e-48
1.5,4,1.84776815719001e-48
1.65,4,1.13159238763895e-48
1.8,4,6.86663354306237e-49
1.95,4,4.13452709099767e-49
2.1,4,2.47297590419155e-49
2.25,4,1.47066145529725e-49
2.4,4,8.70198257997612e-50
2.55,4,5.12618956904909e-50
2.7,4,3.00785671123964e-50
2.85,4,1.75867929459021e-50
0,6,5.59700018963648e-31
0.15,6,1.19346715121227e-30
0.3,6,1.22528421836936e-30
0.45,6,1.01315304982435e-30
0.6,6,7.5438848253589e-31
0.75,6,5.2793960171436e-31
0.9,6,3.54615778877855e-31
1.05,6,2.31349416434703e-31
1.2,6,1.47676949010094e-31
1.35,6,9.26855975650199e-32
1.5,6,5.73913827011074e-32
1.65,6,3.51470781266249e-32
1.8,6,2.13276536888404e-32
1.95,6,1.28417748538537e-32
2.1,6,7.68102350805256e-33
2.25,6,4.56785090035797e-33
2.4,6,2.70282183704946e-33
2.55,6,1.59218626108983e-33
2.7,6,9.34235471875257e-34
2.85,6,5.46242969127871e-34
0,8,4.14615827163276e-20
0.15,8,8.84099255541054e-20
0.3,8,9.07668773444006e-20
0.45,8,7.50525773741669e-20
0.6,8,5.58837581010304e-20
0.75,8,3.91088274505252e-20
0.9,8,2.62693066826822e-20
1.05,8,1.7137953619588e-20
1.2,8,1.09396459339312e-20
1.35,8,6.86598434849064e-21
1.5,8,4.25145163559647e-21
1.65,8,2.60363308488459e-21
1.8,8,1.57991468215848e-21
1.95,8,9.51295859009242e-22
2.1,8,5.68996570903926e-22
2.25,8,3.38378276798565e-22
2.4,8,2.00220238283753e-22
2.55,8,1.17946328617623e-22
2.7,8,6.92065034505548e-23
2.85,8,4.04647083801127e-23
0,10,8.70195577165114e-13
0.15,10,1.85554725976206e-12
0.3,10,1.90501495706486e-12
0.45,10,1.57520327510612e-12
0.6,10,1.17288815209004e-12
0.75,10,8.20815956506133e-13
0.9,10,5.51340132065484e-13
1.05,10,3.59691320600587e-13
