bias,gain,jointP
0,0,1.36215540642047e-17
0.15,0,1.42854197092416e-16
0.3,0,3.86392211639044e-16
0.45,0,6.19429753082777e-16
0.6,0,7.60268264455611e-16
0.75,0,7.94316830030118e-16
0.9,0,7.45289965048638e-16
1.05,0,6.47584409519354e-16
1.2,0,5.31193254842833e-16
1.35,0,4.16638706853816e-16
1.5,0,3.15292455194499e-16
1.65,0,2.3171134373759e-16
1.8,0,1.66182301373872e-16
1.95,0,1.16750648333526e-16
2.1,0,8.05849172373623e-17
2.25,0,5.47764792584088e-17
2.4,0,3.67378447821164e-17
2.55,0,2.43499740544656e-17
2.7,0,1.59705602000638e-17
2.85,0,1.03767127634215e-17
0,2,4.2885810437862e-12
0.15,2,4.4975910882721e-11
0.3,2,1.21650900219701e-10
0.45,2,1.95019942989381e-10
0.6,2,2.39361239677093e-10
0.75,2,2.5008101747944e-10
0.9,2,2.34645503821835e-10
1.05,2,2.03884095003101e-10
1.2,2,1.67239751981932e-10
1.35,2,1.31173642295065e-10
1.5,2,9.92660044678161e-11
1.65,2,7.29515055110035e-11
1.8,2,5.23204815049396e-11
1.95,2,3.67575252377889e-11
2.1,2,2.53711835558765e-11
2.25,2,1.72457099597964e-11
2.4,2,1.15664647351927e-11
2.55,2,7.66629392317904e-12
2.7,2,5.02813712809933e-12
2.85,2,3.26698212584762e-12
0,4,3.2407318799487e-09
0.15,4,3.3986735178656e-08
0.3,4,9.19273639792031e-08
0.45,4,1.47369803676018e-07
0.6,4,1.80876982928778e-07
0.75,4,1.88977547035027e-07
0.9,4,1.7731346498018e-07
1.05,4,1.54068135764483e-07
1.2,4,1.26377277311302e-07
1.35,4,9.91233697240111e-08
1.5,4,7.50118750210143e-08
1.65,4,5.51269212790813e-08
1.8,4,3.95367723394193e-08
1.95,4,2.77763863268291e-08
2.1,4,1.91721230267272e-08
2.25,4,1.30319845861463e-08
2.4,4,8.74037604115058e-09
2.55,4,5.79315229541967e-09
2.7,4,3.79958875008205e-09
2.85,4,2.46874502740184e-09
0,6,2.06311921755977e-07
0.15,6,2.16366824182659e-06
0.3,6,5.85229257682705e-06
0.45,6,9.38187685112709e-06
0.6,6,1.15150155371847e-05
0.75,6,1.20307147711782e-05
0.9,6,1.12881543640232e-05
1.05,6,9.80830699620677e-06
1.2,6,8.04544773040447e-06
1.35,6,6.31040569114056e-06
1.5,6,4.77541637611489e-06
1.65,6,3.50949769709358e-06
1.8,6,2.51699547618955e-06
1.95,6,1.7683041531394e-06
2.1,6,1.22053835130869e-06
2.25,6,8.29644007545813e-07
2.4,6,5.56431030001845e-07
2.55,6,3.68804463734901e-07
2.7,6,2.41889945219481e-07
2.85,6,1.57165587835315e-07
0,8,3.33240828938662e-06
0.15,8,3.49481790639014e-05
0.3,8,9.45278786070406e-05
0.45,8,0.000151538718279593
0.6,8,0.000185993775356893
0.75,8,0.000194323494684615
0.9,8,0.000182329449768973
1.05,8,0.000158426538131267
1.2,8,0.000129952338577593
1.35,8,0.000101927450704579
1.5,8,7.71338707990919e-05
1.65,8,5.66863956180424e-05
1.8,8,4.06552201046505e-05
1.95,8,2.85621469080607e-05
2.1,8,1.9714479341752e-05
2.25,8,1.34006437652967e-05
2.4,8,8.98763077319049e-06
2.55,8,5.9570336103341e-06
2.7,8,3.90707454861524e-06
2.85,8,2.53858285672991e-06
0,10,2.23220399451052e-05
0.15,10,0.000234099360380804
0.3,10,0.00063319224385341
0.45,10,0.00101507769424309
0.6,10,0.00124587389134772
0.75,10,0.00130167027384895
0.9,10,0.001221328513038
1.05,10,0.00106121555506687
1.2,10,0.00087048195802646
1.35,10,0.00068275806220286
1.5,10,0.000516678988760658
1.65,10,0.000379712171332669
1.8,10,0.000272327808703205
1.95,10,0.000191322709834288
2.1,10,0.000132056866130453
2.25,10,8.97638222698505e-05
2.4,10,6.02033831718569e-05
2.55,10,3.99030162743617e-05
2.7,10,2.61714251583338e-05
2.85,10,1.70046233867443e-05
0,12,8.09760901191946e-05
0.15,12,0.000849225740553277
0.3,12,0.00229698684919216
0.45,12,0.00368232576633466
0.6,12,0.00451956885441587
0.75,12,0.00472197745635621
0.9,12,0.00443052731650511
1.05,12,0.00384969683032172
1.2,12,0.00315778601120819
1.35,12,0.00247679327294945
1.5,12,0.00187431993041262
1.65,12,0.00137745506597087
1.8,12,0.000987904386594788
1.95,12,0.000694047902050596
2.1,12,0.000479053380378115
2.25,12,0.000325629887745124
2.4,12,0.000218395567483683
2.55,12,0.000144753358107351
2.7,12,9.49402333917833e-05
2.85,12,6.16864730640318e-05
0,14,0.00018715713712912
0.15,14,0.00196278504116901
0.3,14,0.00530894344349358
0.45,14,0.0085108276701128
0.6,14,0.0104459176357529
0.75,14,0.0109137373886417
0.9,14,0.0102401191179877
1.05,14,0.00889766641631509
1.2,14,0.00729847771921526
1.35,14,0.00572452359139038
1.5,14,0.00433204853091477
1.65,14,0.00318366256374735
1.8,14,0.0022833080293235
1.95,14,0.0016041280603578
2.1,14,0.00110721892192647
2.25,14,0.000752616697896211
2.4,14,0.000504769853814501
2.55,14,0.000334563252601107
2.7,14,0.000219431961382941
2.85,14,0.000142573736040636
0,16,0.000306521227111801
0.15,16,0.0032145997133988
0.3,16,0.00869485334050669
0.45,16,0.0139388183704705
0.6,16,0.0171080597894099
0.75,16,0.0178742431523435
0.9,16,0.0167710081804207
1.05,16,0.0145723730881755
1.2,16,0.0119532622739286
1.35,16,0.00937547999920979
1.5,16,0.00709491955248156
1.65,16,0.00521412205122848
1.8,16,0.00373954415929976
1.95,16,0.00262720037850397
2.1,16,0.00181337515542442
2.25,16,0.00123261659866502
2.4,16,0.00082669930398391
2.55,16,0.000547939236017788
2.7,16,0.000359380118238532
2.85,16,0.000233503660055131
0,18,0.000382745040289377
0.15,18,0.00401398659535666
0.3,18,0.0108570359824008
0.45,18,0.017405037977504
0.6,18,0.021362386856759
0.75,18,0.0223190999851718
0.9,18,0.0209415193270361
1.05,18,0.0181961411850645
1.2,18,0.0149257260051213
1.35,18,0.0117069166916814
1.5,18,0.00885924050204188
1.65,18,0.00651073784799663
1.8,18,0.00466947099684238
1.95,18,0.00328051640727643
2.1,18,0.00226431413400783
2.25,18,0.00153913611191867
2.4,18,0.00103227780141671
2.55,18,0.000684197394555207
2.7,18,0.000448748555297404
2.85,18,0.000291569913828253
0,20,0.000383985569575427
0.15,20,0.00402699647765738
0.3,20,0.0108922251283808
0.45,20,0.0174614500980101
0.6,20,0.0214316252889427
0.75,20,0.0223914392561104
0.9,20,0.0210093936697054
1.05,20,0.0182551173798079
1.2,20,0.0149741023347294
1.35,20,0.0117448604178611
1.5,20,0.00888795451826174
1.65,20,0.00653184004429975
1.8,20,0.00468460539418836
1.95,20,0.00329114901187796
2.1,20,0.00227165308735894
2.25,20,0.00154412466362036
2.4,20,0.00103562355566353
2.55,20,0.000686414972357764
2.7,20,0.000450203011048151
2.85,20,0.000292514931996905
0,22,0.000321735303029376
0.15,22,0.00337415526700627
0.3,22,0.00912641940221504
0.45,22,0.0146306668368486
0.6,22,0.0179572124660158
0.75,22,0.0187614250772344
0.9,22,0.0176034314160818
1.05,22,0.0152956678255473
1.2,22,0.0125465583448461
1.35,22,0.00984082873154949
1.5,22,0.00744707344967698
1.65,22,0.00547292320989003
1.8,22,0.00392515515033223
1.95,22,0.00275760056770412
2.1,22,0.00190338140896068
2.25,22,0.00129379710053777
2.4,22,0.000867732240235435
2.55,22,0.000575136011959026
2.7,22,0.000377217827077385
2.85,22,0.00024509353408958
0,24,0.000231859774681908
0.15,24,0.00243159787745896
0.3,24,0.00657698899165246
0.45,24,0.0105436459235188
0.6,24,0.0129409337336706
0.75,24,0.0135204926228499
0.9,24,0.0126859800691144
1.05,24,0.0110228814253464
1.2,24,0.00904172518054017
1.35,24,0.00709183080282608
1.5,24,0.00536676191833406
1.65,24,0.00394408300969268
1.8,24,0.00282867804738378
1.95,24,0.00198727537907831
2.1,24,0.00137167908047399
2.25,24,0.000932379820897068
2.4,24,0.000625334552381544
2.55,24,0.000414473963188601
2.7,24,0.000271843467498423
2.85,24,0.000176627591237055
0,26,0.000147027407860485
0.15,26,0.00154192995905532
0.3,26,0.00417061408903829
0.45,26,0.00668595892349371
0.6,26,0.00820613211052327
0.75,26,0.00857364321198728
0.9,26,0.00804446035665543
1.05,26,0.00698985274761694
1.2,26,0.00573355778381782
1.35,26,0.00449708666091456
1.5,26,0.00340318235252125
1.65,26,0.00250103021145972
1.8,26,0.00179372727136161
1.95,26,0.00126017524209061
2.1,26,0.000869812022785003
2.25,26,0.000591242652573043
